NME_AREA_CIENCIA,MONTO_FINANCIADO_AP,AREA_TEMATICA
No disponible,309224529,RESISTENCIA ANTIMICROBIANA.
No disponible,349965000,RESISTENCIA ANTIMICROBIANA.
No disponible,345335570,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,348498026,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,349973400,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,173862074,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,349966050,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,332780700,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,349970250,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,348262967,DESNUTRICION EN MENORES DE 5 ANOS
No disponible,349335000,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,349927200,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,349125000,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,70001890,No disponible
No disponible,349988226,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,346474687,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,315014616,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,345363900,SALUD MENTAL - DEPRESION ANSIEDAD SUICIDIO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS
No disponible,350000000,SALUD MENTAL - DEPRESION ANSIEDAD SUICIDIO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS
No disponible,345363900,SALUD MENTAL - DEPRESION ANSIEDAD SUICIDIO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS
No disponible,343038873,SALUD MENTAL - DEPRESION ANSIEDAD SUICIDIO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS
No disponible,349995126,SALUD MENTAL - DEPRESION ANSIEDAD SUICIDIO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS
No disponible,259932449,SALUD MENTAL - DEPRESION ANSIEDAD SUICIDIO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS
No disponible,279916524,SISTEMAS Y SERVICIOS DE ATENCION DE SALUD
No disponible,350000000,SISTEMAS Y SERVICIOS DE ATENCION DE SALUD
No disponible,334119498,SISTEMAS Y SERVICIOS DE ATENCION DE SALUD
